-1.00124E+12, b'608835832'
-1.00124E+12, b'584123424'
-1.00124E+12, b'330058506'
-1.00124E+12, b'351420751'
-1.00124E+12, b'402237081'
-1.00124E+12, b'469046386'
-1.00124E+12, b'525252998'
-1.00124E+12, b'1356374687'
-1.00124E+12, b'612206431'
-1.00124E+12, b'466248722'
-1.00124E+12, b'448951741'
-1.00124E+12, b'443961627'
-1.00124E+12, b'276823935'
-1.00124E+12, b'360104744'
-1.00124E+12, b'459941313'
-1.00124E+12, b'320688106'
-1.00124E+12, b'793435187'
-1.00124E+12, b'889845476'
-1.00124E+12, b'5281911189'
-1.00124E+12, b'5265976521'
-1.00124E+12, b'1888833005'
-1.00124E+12, b'598410753'
-1.00124E+12, b'5336336934'
-1.00124E+12, b'570107003'
-1.00124E+12, b'5353660655'
-1.00124E+12, b'5038403103'
-1.00124E+12, b'961881979'
-1.00124E+12, b'5357612426'
-1.00124E+12, b'384750146'
-1.00124E+12, b'1549569974'
-1.00124E+12, b'576098138'
-1.00124E+12, b'917375377'
-1.00124E+12, b'838142432'
-1.00124E+12, b'588122887'
-1.00124E+12, b'5344883181'
-1.00124E+12, b'338201019'
-1.00124E+12, b'390481533'
-1.00124E+12, b'636065753'
-1.00124E+12, b'416780770'
-1.00124E+12, b'420829650'
-1.00124E+12, b'5102436828'
-1.00124E+12, b'1692562274'
-1.00124E+12, b'1214546739'
-1.00124E+12, b'883809183'
-1.00124E+12, b'2008684434'
-1.00124E+12, b'5190864304'
-1.00124E+12, b'487752599'
-1.00124E+12, b'594835731'
-1.00124E+12, b'875594135'
-1.00124E+12, b'800711760'
-1.00124E+12, b'1972028912'
-1.00124E+12, b'908130565'
-1.00124E+12, b'5368760331'
-1.00124E+12, b'5078943204'
-1.00124E+12, b'317562816'
-1.00124E+12, b'373596284'
-1.00124E+12, b'488657199'
-1.00124E+12, b'371762229'
-1.00124E+12, b'330606988'
-1.00124E+12, b'1209936244'
-1.00124E+12, b'364241871'
-1.00124E+12, b'1511687929'
-1.00124E+12, b'1601803231'
-1.00124E+12, b'420114210'
-1.00124E+12, b'1213607266'
-1.00124E+12, b'5355711725'
-1.00124E+12, b'742430897'
-1.00124E+12, b'804690695'
-1.00124E+12, b'5049761210'
-1.00124E+12, b'1976445141'
-1.00124E+12, b'395789614'
-1.00124E+12, b'1228384635'
-1.00124E+12, b'1203611614'
-1.00124E+12, b'5103262902'
-1.00124E+12, b'5324993579'
-1.00124E+12, b'392479232'
-1.00124E+12, b'5354534719'
-1.00124E+12, b'452279834'
-1.00124E+12, b'533247213'
-1.00124E+12, b'606855544'
-1.00124E+12, b'614570719'
-1.00124E+12, b'675858859'
-1.00124E+12, b'703883112'
-1.00124E+12, b'714229628'
-1.00124E+12, b'793499750'
-1.00124E+12, b'868266312'
-1.00124E+12, b'880438021'
-1.00124E+12, b'933644005'
-1.00124E+12, b'1067411698'
-1.00124E+12, b'1409729102'
-1.00124E+12, b'2096801064'
-1.00124E+12, b'5351983943'
-1.00124E+12, b'5367674419'
-1.00124E+12, b'5393443001'
-1.00124E+12, b'501223429'
-1.00124E+12, b'712183051'
-1.00124E+12, b'742948456'
-1.00124E+12, b'1259031325'
-1.00124E+12, b'1779767416'
-1.00124E+12, b'5187085171'
-1.00124E+12, b'5244724748'
-1.00124E+12, b'5277377375'
-1.00124E+12, b'641789566'
-1.00124E+12, b'1883915867'
-1.00124E+12, b'5369786651'
-1.00124E+12, b'875658396'
-1.00124E+12, b'2032124596'
-1.00124E+12, b'1829691721'
-1.00124E+12, b'1873928303'
-1.00124E+12, b'827947876'
-1.00124E+12, b'415703573'
-1.00124E+12, b'1407047369'
-1.00124E+12, b'1973735804'
-1.00124E+12, b'1227177379'
-1.00124E+12, b'5228824192'
-1.00124E+12, b'904204882'
-1.00124E+12, b'611550259'
-1.00124E+12, b'416008123'
-1.00124E+12, b'1180999558'
-1.00124E+12, b'996553155'
-1.00124E+12, b'1412854801'
-1.00124E+12, b'775601588'
-1.00124E+12, b'2005760354'
-1.00124E+12, b'221093761'
-1.00124E+12, b'733397095'
-1.00124E+12, b'859132404'
-1.00124E+12, b'5315653620'
-1.00124E+12, b'5396592139'
-1.00124E+12, b'675587459'
-1.00124E+12, b'1756757480'
-1.00124E+12, b'472938798'
-1.00124E+12, b'1759847981'
-1.00124E+12, b'370560155'
-1.00124E+12, b'599096028'
-1.00124E+12, b'635132839'
-1.00124E+12, b'444239181'
-1.00124E+12, b'878485651'
